"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C7,C8","4","1uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C3","1","100pF","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"C4","1","22pF","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"C5","1","47nF","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"C6,C13","2","47uF 16V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C9,C10,C11,C12","4","100nF","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"D1,D2,D3,D9,D11","5","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D4","1","1N4004","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D8","1","BZX79CV4V3","","","","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"J1","1","ESP-01S-Header","","","","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical","~"
"J3","1","Polou D24V5F3","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"L1","1","22uH 0.41A","","","","Inductor_THT:L_Axial_L12.8mm_D5.8mm_P20.32mm_Horizontal_Fastron_HBCC","~"
"Q1,Q2","2","BC213C","","","","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"Q3,Q6,Q9","3","BC184C","","","","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"Q4,Q5,Q7,Q8","4","PN2222A","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"Q10,Q11","2","ZTX313","","","","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R1,R31","2","1K0","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2,R10","2","6K8","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3,R5,R11,R12,R14,R24,R25","7","1K0","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4,R6,R8,R13","4","3K9","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","1","47R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9,R16,R21,R26,R27,R33,R36","7","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R15","1","2K2","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R17,R18","2","6K8","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R22,R23,R34","3","330R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R30","1","270R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R35","1","47K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"SK1","1","DE9_Receptacle","","","","Connector_Dsub:DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset15.98mm","~"
"SK2,SK3","2","Network","","","","ZX Spectrum 3.5mm:ZX Spectrum 3.5mm Skt","~"
"SK4","1","Microdrive","","","","ZX Bits:ZX_MD_Edge_Connector","~"
"SK5","1","ZX Spectrum","","","","ZX Bits:Spectrum_Edge_Connector",""
"SK6","1","ZX Expansion","","","","ZX Bits:ZX_Bus_Edge_Connector",""
"SW1","1","PTH_RA_h7.5mm","","","","SparkFun-Switch:Push_PTH_RA_8-020_h7.5mm","~"
"U1","1","LA15-302","","","","Package_DIP:DIP-40_W15.24mm","LA 15-302 Custom ULA"
"U2","1","Teensy4.1","","","","teensy.pretty-master:Teensy41",""
"U3,U5,U6,U7","4","SN74LVC245APW","","","","Package_DIP:DIP-20_W7.62mm","https://www.ti.com/lit/ds/scas218x/scas218x.pdf"
"U4","1","74HC04","","","","Package_DIP:DIP-14_W7.62mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf"
"U8","1","MAX232","","","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/max232.pdf"
"X1","1","8Mhz","","","","Crystal:Crystal_HC18-U_Horizontal","~"
